,train_mae,test_mae,train_r2,test_r2,train_rmse,test_rmse,cv_r2_mean,cv_r2_std
Linear Regression,3.492459654808044e-11,175702.32342267258,1.0,0.45018019872515547,4.1159031748919956e-11,224303.25051235044,,
Ridge Regression,5576.004439119657,179410.27157459361,0.998095956936039,0.45018073072795484,6822.123012035589,224303.14199499096,,
Random Forest,116301.6,296680.0,0.07630642560948864,-0.3199259112464996,150260.60183561093,347536.2864738012,,
Gradient Boosting,3.2978632858779746,186756.6072861107,0.9999999992944921,0.43779631882218195,4.152714809473931,226815.2344988707,,
Polynomial Regression,386.24837520634173,198985.37518300957,0.9999910838864103,0.2545672046724956,466.8409660288755,261173.8113353585,,
